dataset,relative_path,filename,valid,error,keys,poses_shape,trans_shape,betas_shape,dmpls_shape,num_frames,pose_dimensions,fps,gender
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub070/0028_jumping1_poses.npz,0028_jumping1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[386, 156]","[386, 3]",[16],"[386, 8]",386,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub070/0029_jumping2_poses.npz,0029_jumping2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[378, 156]","[378, 3]",[16],"[378, 8]",378,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub070/0030_scamper_poses.npz,0030_scamper_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[3795, 156]","[3795, 3]",[16],"[3795, 8]",3795,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub070/0031_rom_poses.npz,0031_rom_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[9885, 156]","[9885, 3]",[16],"[9885, 8]",9885,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0000_treadmill_norm_poses.npz,0000_treadmill_norm_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[3203, 156]","[3203, 3]",[16],"[3203, 8]",3203,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0001_treadmill_fast_poses.npz,0001_treadmill_fast_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[2861, 156]","[2861, 3]",[16],"[2861, 8]",2861,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0002_treadmill_slow_poses.npz,0002_treadmill_slow_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[2521, 156]","[2521, 3]",[16],"[2521, 8]",2521,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0003_treadmill_jog_poses.npz,0003_treadmill_jog_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[2516, 156]","[2516, 3]",[16],"[2516, 8]",2516,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0004_motorcycle_poses.npz,0004_motorcycle_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[292, 156]","[292, 3]",[16],"[292, 8]",292,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0005_normal_walk1_poses.npz,0005_normal_walk1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[401, 156]","[401, 3]",[16],"[401, 8]",401,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0006_normal_walk2_poses.npz,0006_normal_walk2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[475, 156]","[475, 3]",[16],"[475, 8]",475,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0008_normal_walk4_poses.npz,0008_normal_walk4_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[456, 156]","[456, 3]",[16],"[456, 8]",456,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0009_normal_jog1_poses.npz,0009_normal_jog1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[171, 156]","[171, 3]",[16],"[171, 8]",171,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0010_normal_jog2_poses.npz,0010_normal_jog2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[172, 156]","[172, 3]",[16],"[172, 8]",172,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0011_normal_jog3_poses.npz,0011_normal_jog3_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[158, 156]","[158, 3]",[16],"[158, 8]",158,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0012_normal_jog4_poses.npz,0012_normal_jog4_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[167, 156]","[167, 3]",[16],"[167, 8]",167,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0013_knocking1_poses.npz,0013_knocking1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[833, 156]","[833, 3]",[16],"[833, 8]",833,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0014_knocking2_poses.npz,0014_knocking2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[871, 156]","[871, 3]",[16],"[871, 8]",871,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0015_sitting1_poses.npz,0015_sitting1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[925, 156]","[925, 3]",[16],"[925, 8]",925,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0016_sitting2_poses.npz,0016_sitting2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[849, 156]","[849, 3]",[16],"[849, 8]",849,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0017_lifting_light1_poses.npz,0017_lifting_light1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[852, 156]","[852, 3]",[16],"[852, 8]",852,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0018_lifting_light2_poses.npz,0018_lifting_light2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[664, 156]","[664, 3]",[16],"[664, 8]",664,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0019_lifting_heavy1_poses.npz,0019_lifting_heavy1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[784, 156]","[784, 3]",[16],"[784, 8]",784,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0020_lifting_heavy2_poses.npz,0020_lifting_heavy2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[775, 156]","[775, 3]",[16],"[775, 8]",775,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0021_catching_and_throwing_poses.npz,0021_catching_and_throwing_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[2360, 156]","[2360, 3]",[16],"[2360, 8]",2360,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0022_throwing_hard1_poses.npz,0022_throwing_hard1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[463, 156]","[463, 3]",[16],"[463, 8]",463,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0023_throwing_hard2_poses.npz,0023_throwing_hard2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[410, 156]","[410, 3]",[16],"[410, 8]",410,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0024_throwing_hard3_poses.npz,0024_throwing_hard3_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[322, 156]","[322, 3]",[16],"[322, 8]",322,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0025_kicking1_poses.npz,0025_kicking1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[371, 156]","[371, 3]",[16],"[371, 8]",371,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0026_kicking2_poses.npz,0026_kicking2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[470, 156]","[470, 3]",[16],"[470, 8]",470,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0027_circle_walk_poses.npz,0027_circle_walk_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1771, 156]","[1771, 3]",[16],"[1771, 8]",1771,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0028_jumping1_poses.npz,0028_jumping1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[456, 156]","[456, 3]",[16],"[456, 8]",456,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0029_jumping2_poses.npz,0029_jumping2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[516, 156]","[516, 3]",[16],"[516, 8]",516,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub071/0031_rom_poses.npz,0031_rom_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[12762, 156]","[12762, 3]",[16],"[12762, 8]",12762,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0000_treadmill_norm_poses.npz,0000_treadmill_norm_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[2650, 156]","[2650, 3]",[16],"[2650, 8]",2650,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0001_treadmill_fast_poses.npz,0001_treadmill_fast_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[2701, 156]","[2701, 3]",[16],"[2701, 8]",2701,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0002_treadmill_slow_poses.npz,0002_treadmill_slow_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[2643, 156]","[2643, 3]",[16],"[2643, 8]",2643,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0003_treadmill_jog_poses.npz,0003_treadmill_jog_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[2655, 156]","[2655, 3]",[16],"[2655, 8]",2655,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0004_motorcycle_poses.npz,0004_motorcycle_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[474, 156]","[474, 3]",[16],"[474, 8]",474,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0005_normal_walk1_poses.npz,0005_normal_walk1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[579, 156]","[579, 3]",[16],"[579, 8]",579,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0006_normal_walk2_poses.npz,0006_normal_walk2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[465, 156]","[465, 3]",[16],"[465, 8]",465,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0007_normal_walk3_poses.npz,0007_normal_walk3_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[538, 156]","[538, 3]",[16],"[538, 8]",538,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0008_normal_walk4_poses.npz,0008_normal_walk4_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[606, 156]","[606, 3]",[16],"[606, 8]",606,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0009_normal_jog1_poses.npz,0009_normal_jog1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[155, 156]","[155, 3]",[16],"[155, 8]",155,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0010_normal_jog2_poses.npz,0010_normal_jog2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[196, 156]","[196, 3]",[16],"[196, 8]",196,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0011_normal_jog3_poses.npz,0011_normal_jog3_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[207, 156]","[207, 3]",[16],"[207, 8]",207,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0012_normal_jog4_poses.npz,0012_normal_jog4_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[203, 156]","[203, 3]",[16],"[203, 8]",203,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0013_knocking1_poses.npz,0013_knocking1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[989, 156]","[989, 3]",[16],"[989, 8]",989,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0014_knocking2_poses.npz,0014_knocking2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[876, 156]","[876, 3]",[16],"[876, 8]",876,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0015_sitting1_poses.npz,0015_sitting1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1050, 156]","[1050, 3]",[16],"[1050, 8]",1050,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0016_sitting2_poses.npz,0016_sitting2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1065, 156]","[1065, 3]",[16],"[1065, 8]",1065,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0017_lifting_light1_poses.npz,0017_lifting_light1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[895, 156]","[895, 3]",[16],"[895, 8]",895,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0018_lifting_light2_poses.npz,0018_lifting_light2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[858, 156]","[858, 3]",[16],"[858, 8]",858,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0019_lifting_heavy1_poses.npz,0019_lifting_heavy1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[932, 156]","[932, 3]",[16],"[932, 8]",932,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0020_lifting_heavy2_poses.npz,0020_lifting_heavy2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[955, 156]","[955, 3]",[16],"[955, 8]",955,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0022_throwing_hard1_poses.npz,0022_throwing_hard1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[754, 156]","[754, 3]",[16],"[754, 8]",754,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0023_throwing_hard2_poses.npz,0023_throwing_hard2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[610, 156]","[610, 3]",[16],"[610, 8]",610,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0024_throwing_hard3_poses.npz,0024_throwing_hard3_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[473, 156]","[473, 3]",[16],"[473, 8]",473,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0025_kicking1_poses.npz,0025_kicking1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[402, 156]","[402, 3]",[16],"[402, 8]",402,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0026_kicking2_poses.npz,0026_kicking2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[458, 156]","[458, 3]",[16],"[458, 8]",458,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0027_circle_walk_poses.npz,0027_circle_walk_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[2070, 156]","[2070, 3]",[16],"[2070, 8]",2070,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0028_jumping1_poses.npz,0028_jumping1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[419, 156]","[419, 3]",[16],"[419, 8]",419,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0029_jumping2_poses.npz,0029_jumping2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[258, 156]","[258, 3]",[16],"[258, 8]",258,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0030_scamper_poses.npz,0030_scamper_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[3043, 156]","[3043, 3]",[16],"[3043, 8]",3043,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub072/0031_rom_poses.npz,0031_rom_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[13494, 156]","[13494, 3]",[16],"[13494, 8]",13494,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0000_treadmill_norm_poses.npz,0000_treadmill_norm_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[2800, 156]","[2800, 3]",[16],"[2800, 8]",2800,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0001_treadmill_fast_poses.npz,0001_treadmill_fast_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[2920, 156]","[2920, 3]",[16],"[2920, 8]",2920,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0002_treadmill_slow_poses.npz,0002_treadmill_slow_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[2776, 156]","[2776, 3]",[16],"[2776, 8]",2776,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0003_treadmill_jog_poses.npz,0003_treadmill_jog_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[2780, 156]","[2780, 3]",[16],"[2780, 8]",2780,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0004_motorcycle_poses.npz,0004_motorcycle_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[467, 156]","[467, 3]",[16],"[467, 8]",467,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0005_normal_walk1_poses.npz,0005_normal_walk1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[339, 156]","[339, 3]",[16],"[339, 8]",339,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0006_normal_walk2_poses.npz,0006_normal_walk2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[296, 156]","[296, 3]",[16],"[296, 8]",296,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0007_normal_walk3_poses.npz,0007_normal_walk3_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[423, 156]","[423, 3]",[16],"[423, 8]",423,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0008_normal_walk4_poses.npz,0008_normal_walk4_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[447, 156]","[447, 3]",[16],"[447, 8]",447,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0009_normal_jog1_poses.npz,0009_normal_jog1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[209, 156]","[209, 3]",[16],"[209, 8]",209,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0010_normal_jog2_poses.npz,0010_normal_jog2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[188, 156]","[188, 3]",[16],"[188, 8]",188,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0011_normal_jog3_poses.npz,0011_normal_jog3_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[198, 156]","[198, 3]",[16],"[198, 8]",198,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0012_normal_jog4_poses.npz,0012_normal_jog4_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[208, 156]","[208, 3]",[16],"[208, 8]",208,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0013_knocking1_poses.npz,0013_knocking1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[957, 156]","[957, 3]",[16],"[957, 8]",957,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0014_knocking2_poses.npz,0014_knocking2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1116, 156]","[1116, 3]",[16],"[1116, 8]",1116,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0015_sitting1_poses.npz,0015_sitting1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1492, 156]","[1492, 3]",[16],"[1492, 8]",1492,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0016_sitting2_poses.npz,0016_sitting2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1417, 156]","[1417, 3]",[16],"[1417, 8]",1417,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0017_lifting_light1_poses.npz,0017_lifting_light1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1091, 156]","[1091, 3]",[16],"[1091, 8]",1091,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0018_lifting_light2_poses.npz,0018_lifting_light2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1059, 156]","[1059, 3]",[16],"[1059, 8]",1059,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0019_lifting_heavy1_poses.npz,0019_lifting_heavy1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1184, 156]","[1184, 3]",[16],"[1184, 8]",1184,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0020_lifting_heavy2_poses.npz,0020_lifting_heavy2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1165, 156]","[1165, 3]",[16],"[1165, 8]",1165,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0021_catching_and_throwing_poses.npz,0021_catching_and_throwing_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[3017, 156]","[3017, 3]",[16],"[3017, 8]",3017,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0022_throwing_hard1_poses.npz,0022_throwing_hard1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[444, 156]","[444, 3]",[16],"[444, 8]",444,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0023_throwing_hard2_poses.npz,0023_throwing_hard2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[685, 156]","[685, 3]",[16],"[685, 8]",685,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0024_throwing_hard3_poses.npz,0024_throwing_hard3_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[551, 156]","[551, 3]",[16],"[551, 8]",551,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0025_kicking1_poses.npz,0025_kicking1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[454, 156]","[454, 3]",[16],"[454, 8]",454,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0026_kicking2_poses.npz,0026_kicking2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[515, 156]","[515, 3]",[16],"[515, 8]",515,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0027_circle_walk_poses.npz,0027_circle_walk_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[2348, 156]","[2348, 3]",[16],"[2348, 8]",2348,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0028_jumping1_poses.npz,0028_jumping1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[408, 156]","[408, 3]",[16],"[408, 8]",408,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0029_jumping2_poses.npz,0029_jumping2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[459, 156]","[459, 3]",[16],"[459, 8]",459,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0030_scamper_poses.npz,0030_scamper_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1681, 156]","[1681, 3]",[16],"[1681, 8]",1681,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub073/0031_rom_poses.npz,0031_rom_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[13424, 156]","[13424, 3]",[16],"[13424, 8]",13424,156,120.0,female
BMLrub,03_human_motion/data/AMASS/raw/BMLrub/rub074/0000_treadmill_norm_poses.npz,0000_treadmill_norm_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[2655, 156]","[2655, 3]",[16],"[2655, 8]",2655,156,120.0,female
